day	symbiosis	individual	name	pxl	mm2	condition
35	sym	p6	3	132191	29,13	starved
35	sym	p6	4	170487	37,56	starved
35	sym	p6	5	98132	21,62	starved
35	sym	p6	6	94069	20,73	starved
35	sym	p6	7	170842	37,64	starved
35	sym	p6	8	113133	24,93	starved
35	sym	p6	9	312662	68,89	starved
35	sym	p6	10	135415	29,84	starved
35	sym	p6	11	226844	49,98	starved
42	apo	p1	1	34026	7,50	starved
42	apo	p1	2	40633	8,95	starved
42	apo	p1	3	21237	4,68	starved
42	apo	p1	4	56314	12,41	starved
42	apo	p1	5	41417	9,13	starved
42	apo	p1	6	68931	15,19	starved
42	apo	p1	7	17918	3,95	starved
42	apo	p1	8	11075	2,44	starved
42	apo	p1	9	8809	1,94	starved
42	apo	p1	10	26429	5,82	starved
42	apo	p1	11	17344	3,82	starved
42	apo	p1	12	65223	14,37	starved
42	apo	p1	13	86579	19,08	starved
42	apo	p2	1	105149	23,17	starved
42	apo	p2	2	40071	8,83	starved
42	apo	p2	1	38277	8,43	starved
42	apo	p2	2	50157	11,05	starved
42	apo	p2	3	38191	8,41	starved
42	apo	p2	4	56044	12,35	starved
42	apo	p2	5	88519	19,50	starved
42	apo	p2	6	70766	15,59	starved
42	apo	p2	7	48878	10,77	starved
42	apo	p2	8	13574	2,99	starved
42	apo	p2	9	34707	7,65	starved
42	apo	p2	10	48663	10,72	starved
42	apo	p2	11	40843	9,00	starved
42	apo	p3	1	52326	11,53	starved
42	apo	p3	2	81742	18,01	starved
42	apo	p3	3	73770	16,25	starved
42	apo	p3	4	81024	17,85	starved
42	apo	p3	5	26410	5,82	starved
42	apo	p3	6	53678	11,83	starved
42	apo	p3	7	108916	24,00	starved
42	apo	p3	8	75611	16,66	starved
42	apo	p3	9	34072	7,51	starved
42	apo	p3	10	26669	5,88	starved
42	apo	p3	11	34967	7,70	starved
42	apo	p3	12	37531	8,27	starved
42	apo	p3	13	126783	27,93	starved
42	apo	p4	1	102251	22,53	starved
42	sym	p4	2	166642	36,72	starved
42	sym	p4	3	89631	19,75	starved
42	sym	p4	4	119113	26,24	starved
42	sym	p4	5	23459	5,17	starved
42	sym	p4	6	95378	21,02	starved
42	sym	p4	7	101967	22,47	starved
42	sym	p4	8	137938	30,39	starved
42	sym	p4	9	97198	21,42	starved
42	sym	p4	10	93500	20,60	starved
42	sym	p4	11	89557	19,73	starved
42	sym	p4	12	54965	12,11	starved
42	sym	p4	13	107560	23,70	starved
42	sym	p4	14	68821	15,16	starved
42	sym	p4	15	67279	14,82	starved
42	sym	p4	16	183809	40,50	starved
42	sym	p4	17	90177	19,87	starved
42	sym	p4	1	87491	19,28	starved
42	sym	p5	2	108965	24,01	starved
42	sym	p5	3	85699	18,88	starved
42	sym	p5	4	140781	31,02	starved
42	sym	p5	5	230343	50,75	starved
42	sym	p5	6	226899	49,99	starved
42	sym	p5	7	108003	23,80	starved
42	sym	p5	8	102312	22,54	starved
42	sym	p5	9	159146	35,07	starved
42	sym	p5	10	267712	58,99	starved
42	sym	p5	11	179004	39,44	starved
42	sym	p5	12	190368	41,95	starved
42	sym	p5	13	156278	34,43	starved
42	sym	p5	14	95244	20,99	starved
42	sym	p5	15	108555	23,92	starved
42	sym	p5	16	133667	29,45	starved
42	sym	p5	17	112314	24,75	starved
42	sym	p6	1	78352	17,26	starved
42	sym	p6	2	182641	40,24	starved
42	sym	p6	3	87235	19,22	starved
42	sym	p6	4	162959	35,91	starved
42	sym	p6	5	211919	46,69	starved
42	sym	p6	6	262141	57,76	starved
42	sym	p6	7	95539	21,05	starved
42	sym	p6	8	60472	13,32	starved
42	sym	p6	9	146881	32,36	starved
42	sym	p6	10	277028	61,04	starved
42	sym	p6	11	105565	23,26	starved
