,experiment,day,individual,mm2,condition,feedingreg,reltime,log body size
3812,Cyclicfeeding_starving,8,P5_3,19.09,AL,FED,8,2.949164637737656
3813,Cyclicfeeding_starving,8,P5_4,15.53,AL,FED,8,2.7427736371605955
3814,Cyclicfeeding_starving,8,P5_5,18.32,AL,FED,8,2.9079933592459843
3815,Cyclicfeeding_starving,8,P5_6,12.23,AL,FED,8,2.503891949699081
3816,Cyclicfeeding_starving,8,P6_1,12.31,AL,FED,8,2.510411940196362
3817,Cyclicfeeding_starving,8,P6_2,10.24,AL,FED,8,2.3263016196113617
3818,Cyclicfeeding_starving,8,P6_3,15.82,AL,FED,8,2.761274962339508
3819,Cyclicfeeding_starving,8,P6_4,8.44,AL,FED,8,2.1329823086078656
3820,Cyclicfeeding_starving,8,P6_5,12.17,AL,FED,8,2.498973906999436
3821,Cyclicfeeding_starving,8,P6_6,12.53,AL,FED,8,2.528125768907977
3822,Cyclicfeeding_starving,8,P7_1,10.56,AL,FED,8,2.3570732782781154
3823,Cyclicfeeding_starving,8,P7_2,8.2,AL,FED,8,2.1041341542702074
3824,Cyclicfeeding_starving,8,P7_3,16.22,AL,FED,8,2.7862450486872667
3825,Cyclicfeeding_starving,8,P7_4,8.94,AL,FED,8,2.190535589185423
3826,Cyclicfeeding_starving,8,P7_5,13.33,AL,FED,8,2.5900171341906173
3827,Cyclicfeeding_starving,8,P7_6,13.28,AL,FED,8,2.5862591440482876
3828,Cyclicfeeding_starving,8,P8_1,10.39,AL,FED,8,2.340843805111136
3829,Cyclicfeeding_starving,8,P8_2,16.38,AL,FED,8,2.7960610784249234
3830,Cyclicfeeding_starving,8,P8_3,9.78,AL,FED,8,2.280339484046726
3831,Cyclicfeeding_starving,8,P8_4,13.3,AL,FED,8,2.5877640352277083
3832,Cyclicfeeding_starving,8,P8_5,13.14,AL,FED,8,2.5756610130564646
3833,Cyclicfeeding_starving,8,P8_6,15.3,AL,FED,8,2.72785282839839
3840,Cyclicfeeding_starving,10,P1_1,23.29,AL,FED,10,3.1480240838962494
3841,Cyclicfeeding_starving,10,P1_2,25.77,AL,FED,10,3.2492110246642736
3842,Cyclicfeeding_starving,10,P1_3,19.24,AL,FED,10,2.9569914452375605
3843,Cyclicfeeding_starving,10,P1_4,17.56,AL,FED,10,2.8656235882069705
3844,Cyclicfeeding_starving,10,P1_5,22.7,AL,FED,10,3.122364924487357
3845,Cyclicfeeding_starving,10,P1_6,26.7,AL,FED,10,3.2846635654062037
3888,Cyclicfeeding_starving,10,P2_1,18.9,AL,FED,10,2.9391619220655967
3889,Cyclicfeeding_starving,10,P2_2,25.77,AL,FED,10,3.2492110246642736
3890,Cyclicfeeding_starving,10,P2_3,19.52,AL,FED,10,2.9714395809849465
3891,Cyclicfeeding_starving,10,P2_4,13.1,AL,FED,10,2.5726122302071057
3892,Cyclicfeeding_starving,10,P2_5,21.69,AL,FED,10,3.076851324838783
3893,Cyclicfeeding_starving,10,P2_6,22.61,AL,FED,10,3.1183922862898785
3894,Cyclicfeeding_starving,10,P3_1,15.01,AL,FED,10,2.7087166456453704
3895,Cyclicfeeding_starving,10,P3_2,18.71,AL,FED,10,2.9290581402859983
3896,Cyclicfeeding_starving,10,P3_3,18.48,AL,FED,10,2.916689066213538
3897,Cyclicfeeding_starving,10,P3_4,15.31,AL,FED,10,2.7285062096695922
3898,Cyclicfeeding_starving,10,P3_5,20.66,AL,FED,10,3.0281994636914926
3899,Cyclicfeeding_starving,10,P3_6,16.54,AL,FED,10,2.805781689595545
3900,Cyclicfeeding_starving,10,P4_1,17.67,AL,FED,10,2.871868286331605
3901,Cyclicfeeding_starving,10,P4_2,16.18,AL,FED,10,2.7837759116303458
3902,Cyclicfeeding_starving,10,P4_3,10.09,AL,FED,10,2.3115448343655176
3903,Cyclicfeeding_starving,10,P4_4,23.74,AL,FED,10,3.167161389181522
3904,Cyclicfeeding_starving,10,P4_5,13.66,AL,FED,10,2.614471854142644
3905,Cyclicfeeding_starving,10,P4_6,19.2,AL,FED,10,2.954910279033736
3906,Cyclicfeeding_starving,10,P5_1,9.97,AL,FED,10,2.299580583973747
